"Activity 
2_DC Rollover IRA *4915 
as of 02/04/2026 at 11:21:41 AM"

Date,Description,Symbol,Quantity,Price,Amount,Cash Balance,Commission,Fees,Account,Settlement Date,Type
Dec-5-2025,YOU BOUGHT,GS,35,847.79,"-29,672.65","+88,640.92",--,--,2_DC Rollover IRA *4915,Dec-8-2025,Margin
Dec-5-2025,YOU BOUGHT,GS,0.379,847.79,-321.31,"+118,313.57",--,--,2_DC Rollover IRA *4915,Dec-8-2025,Margin
Dec-5-2025,YOU BOUGHT,BTSG,835,35.87,"-29,953.54","+118,634.88",--,--,2_DC Rollover IRA *4915,Dec-8-2025,Margin
Dec-5-2025,YOU BOUGHT,BTSG,366,35.53,"-13,003.98","+148,588.42",--,--,2_DC Rollover IRA *4915,Dec-8-2025,Margin
Dec-5-2025,YOU BOUGHT,BTSG,0.197,35.53,-7.00,"+161,592.40",--,--,2_DC Rollover IRA *4915,Dec-8-2025,Margin
Dec-5-2025,YOU BOUGHT,BTSG,0.189,35.87,-6.78,"+161,599.40",--,--,2_DC Rollover IRA *4915,Dec-8-2025,Margin
Dec-5-2025,JOURNALED JNL VS A/C TYPES,,--,--,"16,724.47","+161,606.18",--,--,2_DC Rollover IRA *4915,--,Margin
Dec-5-2025,JOURNALED JNL VS A/C TYPES,,--,--,"-16,724.47","+161,606.18",--,--,2_DC Rollover IRA *4915,--,Cash
Dec-4-2025,YOU SOLD,URBN,-0.418,76.21,31.86,"+161,606.18",--,--,2_DC Rollover IRA *4915,Dec-5-2025,Margin
Dec-4-2025,YOU SOLD,URBN,-359,76.21,"27,359.39","+161,574.32",--,--,2_DC Rollover IRA *4915,Dec-5-2025,Margin
Dec-4-2025,YOU SOLD,URBN,-400,76.09,"30,438.00","+134,214.93",--,--,2_DC Rollover IRA *4915,Dec-5-2025,Margin
Dec-4-2025,YOU BOUGHT,PEN,103,291.00,"-29,973.52","+103,776.93",--,--,2_DC Rollover IRA *4915,Dec-5-2025,Margin
Dec-4-2025,YOU BOUGHT,PEN,0.079,291.00,-22.99,"+133,750.45",--,--,2_DC Rollover IRA *4915,Dec-5-2025,Margin
Dec-4-2025,YOU BOUGHT,MP,600,61.62,"-36,969.60","+133,773.44",--,--,2_DC Rollover IRA *4915,Dec-5-2025,Margin
Dec-4-2025,YOU SOLD,MP,-200,61.26,"12,252.00","+170,743.04",--,--,2_DC Rollover IRA *4915,Dec-5-2025,Margin
Dec-4-2025,YOU SOLD,LLY,-10,"1,015.26","10,152.60","+158,491.04",--,--,2_DC Rollover IRA *4915,Dec-5-2025,Margin
Dec-4-2025,YOU BOUGHT,BRKB,59,502.92,"-29,672.28","+148,338.44",--,--,2_DC Rollover IRA *4915,Dec-5-2025,Margin
Dec-4-2025,YOU BOUGHT,BRKB,0.636,503.04,-319.93,"+178,010.72",--,--,2_DC Rollover IRA *4915,Dec-5-2025,Margin
Dec-4-2025,JOURNALED JNL VS A/C TYPES,,--,--,"75,156.61","+178,330.65",--,--,2_DC Rollover IRA *4915,--,Margin
Dec-4-2025,JOURNALED JNL VS A/C TYPES,,--,--,"-75,156.61","+178,330.65",--,--,2_DC Rollover IRA *4915,--,Cash
Dec-3-2025,YOU BOUGHT,URBN,375,79.51,"-29,816.21","+178,330.65",--,--,2_DC Rollover IRA *4915,Dec-4-2025,Margin
Dec-3-2025,YOU BOUGHT,MP,200,59.14,"-11,828.00","+208,146.86",--,--,2_DC Rollover IRA *4915,Dec-4-2025,Margin
Dec-3-2025,YOU BOUGHT,GS,40,837.81,"-33,512.40","+219,974.86",--,--,2_DC Rollover IRA *4915,Dec-4-2025,Margin
Dec-3-2025,JOURNALED JNL VS A/C TYPES,,--,--,"12,003.41","+253,487.26",--,--,2_DC Rollover IRA *4915,--,Margin
Dec-3-2025,JOURNALED JNL VS A/C TYPES,,--,--,"-12,003.41","+253,487.26",--,--,2_DC Rollover IRA *4915,--,Cash
Dec-2-2025,YOU BOUGHT,MP,195,60.02,"-11,703.63","+253,487.26",--,--,2_DC Rollover IRA *4915,Dec-3-2025,Margin
Dec-2-2025,YOU BOUGHT,MP,5,59.95,-299.78,"+265,190.89",--,--,2_DC Rollover IRA *4915,Dec-3-2025,Margin
Dec-2-2025,JOURNALED JNL VS A/C TYPES,,--,--,"53,131.64","+265,490.67",--,--,2_DC Rollover IRA *4915,--,Margin
Dec-2-2025,JOURNALED JNL VS A/C TYPES,,--,--,"-53,131.64","+265,490.67",--,--,2_DC Rollover IRA *4915,--,Cash
Dec-1-2025,DIVIDEND RECEIVED,PFE,--,--,"1,290.00","+265,490.67",--,--,2_DC Rollover IRA *4915,--,Cash
Dec-1-2025,YOU BOUGHT,URBN,384,77.97,"-29,940.48","+264,200.67",--,--,2_DC Rollover IRA *4915,Dec-2-2025,Margin
Dec-1-2025,YOU BOUGHT,URBN,0.418,77.97,-32.59,"+294,141.15",--,--,2_DC Rollover IRA *4915,Dec-2-2025,Margin
Dec-1-2025,YOU BOUGHT EX-DIV DATE 12/04/25RECORD DATE 12/04/25PAYABLE DTE 12/26/25,NVDA,169,178.11,"-30,100.56","+294,173.74",--,--,2_DC Rollover IRA *4915,Dec-2-2025,Margin
Dec-1-2025,YOU SOLD,MP,-600,58.97,"35,384.70","+324,274.30",--,--,2_DC Rollover IRA *4915,Dec-2-2025,Margin
Dec-1-2025,YOU BOUGHT,LLY,28,"1,074.03","-30,072.97","+288,889.60",--,--,2_DC Rollover IRA *4915,Dec-2-2025,Margin
Dec-1-2025,YOU BOUGHT,CAT,50,573.94,"-28,697.00","+318,962.57",--,--,2_DC Rollover IRA *4915,Dec-2-2025,Margin
Dec-1-2025,YOU SOLD,CAT,-50,570.29,"28,514.50","+347,659.57",--,--,2_DC Rollover IRA *4915,Dec-2-2025,Margin
Dec-1-2025,YOU SOLD,AMGN,-0.299,340.79,101.89,"+319,145.07",--,--,2_DC Rollover IRA *4915,Dec-2-2025,Margin
Dec-1-2025,YOU SOLD,AMGN,-93,340.79,"31,693.01","+319,043.18",--,--,2_DC Rollover IRA *4915,Dec-2-2025,Margin
Dec-1-2025,YOU BOUGHT,VIK,446,67.09,"-29,922.14","+287,350.17",--,--,2_DC Rollover IRA *4915,Dec-2-2025,Margin
Dec-1-2025,YOU BOUGHT,VIK,0.894,67.11,-60.00,"+317,272.31",--,--,2_DC Rollover IRA *4915,Dec-2-2025,Margin
Dec-1-2025,JOURNALED JNL VS A/C TYPES,,--,--,"65,286.17","+317,332.31",--,--,2_DC Rollover IRA *4915,--,Cash
Dec-1-2025,JOURNALED JNL VS A/C TYPES,,--,--,"-65,286.17","+317,332.31",--,--,2_DC Rollover IRA *4915,--,Margin
Nov-28-2025,REINVESTMENT REINVEST @ $1.000,FDRXX,649.1,1.00,-649.10,"+317,332.31",--,--,2_DC Rollover IRA *4915,--,Cash
Nov-28-2025,DIVIDEND RECEIVED,FDRXX,--,--,649.10,"+317,332.31",--,--,2_DC Rollover IRA *4915,--,Cash
Nov-28-2025,YOU SOLD,FIX,-16,979.65,"15,674.40","+316,683.21",--,--,2_DC Rollover IRA *4915,Dec-1-2025,Margin
Nov-28-2025,YOU SOLD,BTSG,-8,35.98,287.89,"+301,008.81",--,--,2_DC Rollover IRA *4915,Dec-1-2025,Margin
Nov-28-2025,YOU SOLD,BTSG,-392,35.99,"14,106.71","+300,720.92",--,--,2_DC Rollover IRA *4915,Dec-1-2025,Margin
Nov-28-2025,YOU SOLD,AAPL,-120,276.57,"33,188.40","+286,614.21",--,--,2_DC Rollover IRA *4915,Dec-1-2025,Margin
Nov-28-2025,YOU SOLD,GOOGL,-100,320.38,"32,037.65","+253,425.81",--,--,2_DC Rollover IRA *4915,Dec-1-2025,Margin
Nov-28-2025,YOU BOUGHT,VIK,446,67.17,"-29,957.78","+221,388.16",--,--,2_DC Rollover IRA *4915,Dec-1-2025,Margin
Nov-28-2025,YOU BOUGHT,VIK,0.761,67.14,-51.10,"+251,345.94",--,--,2_DC Rollover IRA *4915,Dec-1-2025,Margin
Nov-28-2025,JOURNALED JNL VS A/C TYPES,,--,--,"10,436.76","+251,397.04",--,--,2_DC Rollover IRA *4915,--,Margin
Nov-28-2025,JOURNALED JNL VS A/C TYPES,,--,--,"-10,436.76","+251,397.04",--,--,2_DC Rollover IRA *4915,--,Cash
Nov-26-2025,YOU BOUGHT,NVDA,175,182.07,"-31,862.25","+251,397.04",--,--,2_DC Rollover IRA *4915,Nov-28-2025,Margin
Nov-26-2025,YOU BOUGHT,NVDA,0.679,182.08,-123.63,"+283,259.29",--,--,2_DC Rollover IRA *4915,Nov-28-2025,Margin
Nov-26-2025,YOU SOLD,NVDA,-0.679,179.53,121.90,"+283,382.92",--,--,2_DC Rollover IRA *4915,Nov-28-2025,Margin
Nov-26-2025,YOU SOLD,NVDA,-50,178.73,"8,936.50","+283,261.02",--,--,2_DC Rollover IRA *4915,Nov-28-2025,Margin
Nov-26-2025,YOU SOLD,NVDA,-125,178.72,"22,340.00","+274,324.52",--,--,2_DC Rollover IRA *4915,Nov-28-2025,Margin
Nov-26-2025,YOU SOLD,MEDP,-40,606.52,"24,260.80","+251,984.52",--,--,2_DC Rollover IRA *4915,Nov-28-2025,Margin
Nov-26-2025,YOU BOUGHT,FIX,16,979.35,"-15,669.60","+227,723.72",--,--,2_DC Rollover IRA *4915,Nov-28-2025,Margin
Nov-26-2025,YOU SOLD,AAPL,-0.723,278.17,201.11,"+243,393.32",--,--,2_DC Rollover IRA *4915,Nov-28-2025,Margin
Nov-26-2025,YOU SOLD,AAPL,-48,278.17,"13,351.92","+243,192.21",--,--,2_DC Rollover IRA *4915,Nov-28-2025,Margin
Nov-26-2025,YOU BOUGHT,AMGN,46,341.57,"-15,712.22","+229,840.29",--,--,2_DC Rollover IRA *4915,Nov-28-2025,Margin
Nov-26-2025,YOU BOUGHT,AMGN,46,344.27,"-15,836.42","+245,552.51",--,--,2_DC Rollover IRA *4915,Nov-28-2025,Margin
Nov-26-2025,YOU BOUGHT,AMGN,0.8,341.48,-273.18,"+261,388.93",--,--,2_DC Rollover IRA *4915,Nov-28-2025,Margin
Nov-26-2025,YOU BOUGHT,AMGN,0.499,344.06,-171.69,"+261,662.11",--,--,2_DC Rollover IRA *4915,Nov-28-2025,Margin
Nov-26-2025,JOURNALED JNL VS A/C TYPES,,--,--,"12,282.60","+261,833.80",--,--,2_DC Rollover IRA *4915,--,Margin
Nov-26-2025,JOURNALED JNL VS A/C TYPES,,--,--,"-12,282.60","+261,833.80",--,--,2_DC Rollover IRA *4915,--,Cash
Nov-25-2025,YOU SOLD,NVDA,-200,173.22,"34,644.00","+261,833.80",--,--,2_DC Rollover IRA *4915,Nov-26-2025,Margin
Nov-25-2025,YOU SOLD,MP,-600,57.85,"34,710.00","+227,189.80",--,--,2_DC Rollover IRA *4915,Nov-26-2025,Margin
Nov-25-2025,YOU BOUGHT,AAPL,60,279.51,"-16,770.60","+192,479.80",--,--,2_DC Rollover IRA *4915,Nov-26-2025,Margin
Nov-25-2025,YOU BOUGHT,GOOGL,100,325.36,"-32,535.50","+209,250.40",--,--,2_DC Rollover IRA *4915,Nov-26-2025,Margin
Nov-25-2025,YOU BOUGHT,GOOGL,50,321.90,"-16,095.00","+241,785.90",--,--,2_DC Rollover IRA *4915,Nov-26-2025,Margin
Nov-25-2025,YOU BOUGHT,GOOGL,50,324.71,"-16,235.50","+257,880.90",--,--,2_DC Rollover IRA *4915,Nov-26-2025,Margin
Nov-25-2025,JOURNALED JNL VS A/C TYPES,,--,--,"171,295.69","+274,116.40",--,--,2_DC Rollover IRA *4915,--,Margin
Nov-25-2025,JOURNALED JNL VS A/C TYPES,,--,--,"-171,295.69","+274,116.40",--,--,2_DC Rollover IRA *4915,--,Cash
Nov-24-2025,YOU BOUGHT,NVDA,200,182.04,"-36,408.00","+274,116.40",--,--,2_DC Rollover IRA *4915,Nov-25-2025,Margin
Nov-24-2025,YOU BOUGHT,MEDP,40,609.01,"-24,360.40","+310,524.40",--,--,2_DC Rollover IRA *4915,Nov-25-2025,Margin
Nov-24-2025,YOU BOUGHT,MP,700,56.82,"-39,774.00","+334,884.80",--,--,2_DC Rollover IRA *4915,Nov-25-2025,Margin
Nov-24-2025,YOU BOUGHT,MP,700,58.20,"-40,736.50","+374,658.80",--,--,2_DC Rollover IRA *4915,Nov-25-2025,Margin
Nov-24-2025,YOU BOUGHT,AAPL,108,276.08,"-29,817.18","+415,395.30",--,--,2_DC Rollover IRA *4915,Nov-25-2025,Margin
Nov-24-2025,YOU BOUGHT,AAPL,0.723,276.08,-199.61,"+445,212.48",--,--,2_DC Rollover IRA *4915,Nov-25-2025,Margin
Nov-24-2025,JOURNALED JNL VS A/C TYPES,,--,--,"70,665.66","+445,412.09",--,--,2_DC Rollover IRA *4915,--,Cash
Nov-24-2025,JOURNALED JNL VS A/C TYPES,,--,--,"-70,665.66","+445,412.09",--,--,2_DC Rollover IRA *4915,--,Margin
Nov-21-2025,YOU SOLD,PFE,-500,24.96,"12,478.25","+445,412.09",--,--,2_DC Rollover IRA *4915,Nov-24-2025,Cash
Nov-21-2025,YOU SOLD,PFE,"-1,000",25.14,"25,140.00","+432,933.84",--,--,2_DC Rollover IRA *4915,Nov-24-2025,Cash
Nov-21-2025,YOU SOLD,SPHR,-200,74.62,"14,924.00","+407,793.84",--,--,2_DC Rollover IRA *4915,Nov-24-2025,Cash
Nov-21-2025,YOU SOLD,ISRG,-70,551.85,"38,629.58","+392,869.84",--,--,2_DC Rollover IRA *4915,Nov-24-2025,Cash
Nov-21-2025,YOU SOLD,GEV,-50,546.54,"27,327.00","+354,240.26",--,--,2_DC Rollover IRA *4915,Nov-24-2025,Margin
Nov-21-2025,YOU BOUGHT,META,100,595.58,"-59,558.00","+326,913.26",--,--,2_DC Rollover IRA *4915,Nov-24-2025,Margin
Nov-21-2025,YOU SOLD,META,-100,593.88,"59,388.00","+386,471.26",--,--,2_DC Rollover IRA *4915,Nov-24-2025,Margin
Nov-21-2025,YOU SOLD,BTSG,-600,34.55,"20,730.00","+327,083.26",--,--,2_DC Rollover IRA *4915,Nov-24-2025,Margin
Nov-21-2025,YOU SOLD,BTSG,-673,34.42,"23,164.66","+306,353.26",--,--,2_DC Rollover IRA *4915,Nov-24-2025,Margin
Nov-21-2025,YOU SOLD,BWXT,-0.014,171.47,2.40,"+283,188.60",--,--,2_DC Rollover IRA *4915,Nov-24-2025,Cash
Nov-21-2025,YOU SOLD,BWXT,-18,171.47,"3,086.55","+283,186.20",--,--,2_DC Rollover IRA *4915,Nov-24-2025,Cash
Nov-21-2025,YOU SOLD,AMGN,-25,339.95,"8,498.75","+280,099.65",--,--,2_DC Rollover IRA *4915,Nov-24-2025,Cash
Nov-21-2025,YOU SOLD,AMGN,-100,340.57,"34,057.00","+271,600.90",--,--,2_DC Rollover IRA *4915,Nov-24-2025,Cash
Nov-21-2025,YOU BOUGHT,GOOGL,200,302.06,"-60,412.00","+237,543.90",--,--,2_DC Rollover IRA *4915,Nov-24-2025,Margin
Nov-21-2025,YOU SOLD,GOOGL,-200,300.13,"60,026.00","+297,955.90",--,--,2_DC Rollover IRA *4915,Nov-24-2025,Margin
Nov-21-2025,JOURNALED JNL VS A/C TYPES,,--,--,"15,512.97","+237,929.90",--,--,2_DC Rollover IRA *4915,--,Margin
Nov-21-2025,JOURNALED JNL VS A/C TYPES,,--,--,"-15,512.97","+237,929.90",--,--,2_DC Rollover IRA *4915,--,Cash
Nov-20-2025,YOU SOLD,ISRG,-13,553.73,"7,198.49","+237,929.90",--,--,2_DC Rollover IRA *4915,Nov-21-2025,Margin
Nov-20-2025,YOU SOLD,ISRG,-17,553.72,"9,413.24","+230,731.41",--,--,2_DC Rollover IRA *4915,Nov-21-2025,Margin
Nov-20-2025,YOU BOUGHT,GEV,50,624.69,"-31,234.60","+221,318.17",--,--,2_DC Rollover IRA *4915,Nov-21-2025,Margin
Nov-20-2025,YOU SOLD EX-DIV DATE 11/21/25RECORD DATE 11/21/25PAYABLE DTE 12/12/25,AMGN,-75,338.83,"25,412.25","+252,552.77",--,--,2_DC Rollover IRA *4915,Nov-21-2025,Cash
Nov-20-2025,YOU BOUGHT,VIK,450,63.48,"-28,566.00","+227,140.52",--,--,2_DC Rollover IRA *4915,Nov-21-2025,Margin
Nov-20-2025,YOU SOLD,VIK,-450,61.50,"27,675.90","+255,706.52",--,--,2_DC Rollover IRA *4915,Nov-21-2025,Margin
Nov-20-2025,JOURNALED JNL VS A/C TYPES,,--,--,"76,877.77","+228,030.62",--,--,2_DC Rollover IRA *4915,--,Margin
Nov-20-2025,JOURNALED JNL VS A/C TYPES,,--,--,"-76,877.77","+228,030.62",--,--,2_DC Rollover IRA *4915,--,Cash
Nov-19-2025,YOU BOUGHT,ISRG,30,563.68,"-16,910.40","+228,030.62",--,--,2_DC Rollover IRA *4915,Nov-20-2025,Margin
Nov-19-2025,YOU BOUGHT,BTSG,928,32.02,"-29,709.92","+244,941.02",--,--,2_DC Rollover IRA *4915,Nov-20-2025,Margin
Nov-19-2025,YOU BOUGHT,BTSG,545,32.01,"-17,445.45","+274,650.94",--,--,2_DC Rollover IRA *4915,Nov-20-2025,Margin
Nov-19-2025,YOU BOUGHT,BTSG,400,32.03,"-12,812.00","+292,096.39",--,--,2_DC Rollover IRA *4915,Nov-20-2025,Margin
Nov-17-2025,YOU SOLD,CME,-225,281.71,"63,385.88","+304,908.39",--,--,2_DC Rollover IRA *4915,Nov-18-2025,Cash
Nov-14-2025,YOU SOLD,ISRG,-70,558.15,"39,070.36","+241,522.51",--,--,2_DC Rollover IRA *4915,Nov-17-2025,Cash
Nov-13-2025,YOU SOLD,IBM,-100,306.43,"30,643.00","+202,452.15",--,--,2_DC Rollover IRA *4915,Nov-14-2025,Cash
Nov-12-2025,YOU SOLD,IBM,-0.845,316.55,267.48,"+171,809.15",--,--,2_DC Rollover IRA *4915,Nov-13-2025,Cash
Nov-12-2025,YOU SOLD,IBM,-92,316.56,"29,123.20","+171,541.67",--,--,2_DC Rollover IRA *4915,Nov-13-2025,Cash
Nov-11-2025,YOU SOLD,SPHR,-100,77.40,"7,740.20","+142,418.47",--,--,2_DC Rollover IRA *4915,Nov-12-2025,Cash
Nov-11-2025,YOU SOLD,MP,-0.798,62.20,49.64,"+134,678.27",--,--,2_DC Rollover IRA *4915,Nov-12-2025,Cash
Nov-11-2025,YOU SOLD,MP,-396,62.24,"24,647.04","+134,628.63",--,--,2_DC Rollover IRA *4915,Nov-12-2025,Cash
Nov-11-2025,YOU BOUGHT,LLY,12,989.98,"-11,879.75","+109,981.59",--,--,2_DC Rollover IRA *4915,Nov-12-2025,Cash
Nov-11-2025,YOU SOLD,LLY,-0.971,990.26,961.55,"+121,861.34",--,--,2_DC Rollover IRA *4915,Nov-12-2025,Cash
Nov-11-2025,YOU SOLD,LLY,-73,990.29,"72,291.13","+120,899.79",--,--,2_DC Rollover IRA *4915,Nov-12-2025,Cash
Nov-11-2025,YOU SOLD,ISRG,-0.546,575.55,314.25,"+48,608.66",--,--,2_DC Rollover IRA *4915,Nov-12-2025,Cash
Nov-11-2025,YOU SOLD,ISRG,-40,575.65,"23,025.98","+48,294.41",--,--,2_DC Rollover IRA *4915,Nov-12-2025,Cash
Nov-11-2025,YOU BOUGHT,IBM,192,311.00,"-59,712.67","+25,268.43",--,--,2_DC Rollover IRA *4915,Nov-12-2025,Cash
Nov-11-2025,YOU BOUGHT,IBM,0.845,311.02,-262.81,"+84,981.10",--,--,2_DC Rollover IRA *4915,Nov-12-2025,Cash
Nov-11-2025,YOU SOLD,CRS,-43,321.00,"13,803.00","+85,243.91",--,--,2_DC Rollover IRA *4915,Nov-12-2025,Cash
Nov-11-2025,YOU SOLD,CRS,-107,321.10,"34,357.70","+71,440.91",--,--,2_DC Rollover IRA *4915,Nov-12-2025,Cash
Nov-10-2025,YOU SOLD,WMT,-0.947,101.95,96.55,"+37,083.21",--,--,2_DC Rollover IRA *4915,Nov-12-2025,Cash
Nov-10-2025,YOU SOLD,WMT,-230,101.96,"23,450.80","+36,986.66",--,--,2_DC Rollover IRA *4915,Nov-12-2025,Cash
Nov-10-2025,YOU SOLD,PFE,"-1,500",23.97,"35,955.15","+13,535.86",--,--,2_DC Rollover IRA *4915,Nov-12-2025,Cash
Nov-10-2025,YOU BOUGHT,MP,203,62.15,"-12,616.45","-22,419.29",--,--,2_DC Rollover IRA *4915,Nov-12-2025,Cash
Nov-10-2025,YOU BOUGHT,MP,193,61.92,"-11,950.56","-9,802.84",--,--,2_DC Rollover IRA *4915,Nov-12-2025,Cash
Nov-10-2025,YOU BOUGHT,MP,0.798,61.92,-49.41,"+2,147.72",--,--,2_DC Rollover IRA *4915,Nov-12-2025,Cash
Nov-10-2025,YOU BOUGHT,LLY,61,968.17,"-59,058.16","+2,197.13",--,--,2_DC Rollover IRA *4915,Nov-12-2025,Cash
Nov-10-2025,YOU BOUGHT,LLY,0.971,968.13,-940.05,"+61,255.29",--,--,2_DC Rollover IRA *4915,Nov-12-2025,Cash
Nov-10-2025,YOU SOLD,CRS,-150,329.32,"49,398.00","+62,195.34",--,--,2_DC Rollover IRA *4915,Nov-12-2025,Cash
Nov-7-2025,YOU BOUGHT,ISRG,70,561.54,"-39,307.91","+12,797.34",--,--,2_DC Rollover IRA *4915,Nov-10-2025,Cash
Nov-7-2025,YOU SOLD,GE,-150,298.48,"44,771.52","+52,105.25",--,--,2_DC Rollover IRA *4915,Nov-10-2025,Cash
Nov-7-2025,YOU BOUGHT,CRS,200,324.26,"-64,852.00","+7,333.73",--,--,2_DC Rollover IRA *4915,Nov-10-2025,Cash
Nov-7-2025,YOU BOUGHT,CME,225,278.09,"-62,571.26","+72,185.73",--,--,2_DC Rollover IRA *4915,Nov-10-2025,Cash
Nov-7-2025,YOU BOUGHT,AMGN,200,319.63,"-63,925.60","+134,756.99",--,--,2_DC Rollover IRA *4915,Nov-10-2025,Cash
Nov-6-2025,YOU SOLD,W,-0.188,96.87,18.21,"+198,682.59",--,--,2_DC Rollover IRA *4915,Nov-7-2025,Cash
Nov-6-2025,YOU SOLD,W,-107,96.88,"10,365.84","+198,664.38",--,--,2_DC Rollover IRA *4915,Nov-7-2025,Cash
Nov-6-2025,YOU SOLD,W,-188,96.87,"18,211.56","+188,298.54",--,--,2_DC Rollover IRA *4915,Nov-7-2025,Cash
Nov-6-2025,YOU SOLD,ROKU,-0.944,104.54,98.69,"+170,086.98",--,--,2_DC Rollover IRA *4915,Nov-7-2025,Cash
Nov-6-2025,YOU SOLD,ROKU,-552,104.54,"57,706.13","+169,988.29",--,--,2_DC Rollover IRA *4915,Nov-7-2025,Cash
Nov-6-2025,YOU SOLD,FIX,-0.255,949.71,242.17,"+112,282.16",--,--,2_DC Rollover IRA *4915,Nov-7-2025,Cash
Nov-6-2025,YOU SOLD,FIX,-30,949.78,"28,493.47","+112,039.99",--,--,2_DC Rollover IRA *4915,Nov-7-2025,Cash
Nov-6-2025,YOU SOLD,AMZN,-10,245.35,"2,453.50","+83,546.52",--,--,2_DC Rollover IRA *4915,Nov-7-2025,Cash
Nov-6-2025,YOU SOLD,AMZN,-105,245.33,"25,759.65","+81,093.02",--,--,2_DC Rollover IRA *4915,Nov-7-2025,Cash
Nov-6-2025,YOU SOLD,AMD,-125,240.06,"30,007.50","+55,333.37",--,--,2_DC Rollover IRA *4915,Nov-7-2025,Cash
Nov-5-2025,YOU BOUGHT,W,295,101.45,"-29,929.08","+25,325.87",--,--,2_DC Rollover IRA *4915,Nov-6-2025,Cash
Nov-5-2025,YOU BOUGHT,W,0.188,101.47,-19.08,"+55,254.95",--,--,2_DC Rollover IRA *4915,Nov-6-2025,Cash
Nov-5-2025,YOU BOUGHT,ROKU,552,108.65,"-59,974.03","+55,274.03",--,--,2_DC Rollover IRA *4915,Nov-6-2025,Cash
Nov-5-2025,YOU BOUGHT,ROKU,0.944,108.57,-102.49,"+115,248.06",--,--,2_DC Rollover IRA *4915,Nov-6-2025,Cash
Nov-5-2025,YOU BOUGHT,FIX,30,991.11,"-29,733.33","+115,350.55",--,--,2_DC Rollover IRA *4915,Nov-6-2025,Cash
Nov-5-2025,YOU BOUGHT,FIX,0.255,990.73,-252.64,"+145,083.88",--,--,2_DC Rollover IRA *4915,Nov-6-2025,Cash
Nov-5-2025,YOU BOUGHT,CRS,100,316.10,"-31,610.45","+145,336.52",--,--,2_DC Rollover IRA *4915,Nov-6-2025,Cash
Nov-5-2025,YOU SOLD,AMZN,-115,249.41,"28,682.16","+176,946.97",--,--,2_DC Rollover IRA *4915,Nov-6-2025,Cash
Nov-5-2025,YOU SOLD,AMD,-0.073,244.82,17.87,"+148,264.81",--,--,2_DC Rollover IRA *4915,Nov-6-2025,Cash
Nov-5-2025,YOU SOLD,AMD,-125,244.82,"30,603.13","+148,246.94",--,--,2_DC Rollover IRA *4915,Nov-6-2025,Cash
Nov-4-2025,YOU SOLD,SNOW,-170,266.73,"45,344.36","+117,643.81",--,--,2_DC Rollover IRA *4915,Nov-5-2025,Cash
Nov-4-2025,YOU BOUGHT,PFE,"3,000",24.98,"-74,925.00","+72,299.45",--,--,2_DC Rollover IRA *4915,Nov-5-2025,Cash
Nov-4-2025,YOU BOUGHT,SPHR,300,70.80,"-21,238.50","+147,224.45",--,--,2_DC Rollover IRA *4915,Nov-5-2025,Cash
Nov-4-2025,YOU SOLD,GH,-50,97.21,"4,860.55","+168,462.95",--,--,2_DC Rollover IRA *4915,Nov-5-2025,Cash
Nov-4-2025,YOU SOLD,AMZN,-0.09,249.61,22.46,"+163,602.40",--,--,2_DC Rollover IRA *4915,Nov-5-2025,Cash
Nov-4-2025,YOU SOLD,AMZN,-92,249.62,"22,965.05","+163,579.94",--,--,2_DC Rollover IRA *4915,Nov-5-2025,Cash
Nov-4-2025,YOU SOLD,AMZN,-145,249.63,"36,196.36","+140,614.89",--,--,2_DC Rollover IRA *4915,Nov-5-2025,Cash
Nov-3-2025,YOU BOUGHT,ISRG,110,542.76,"-59,703.60","+104,418.53",--,--,2_DC Rollover IRA *4915,Nov-4-2025,Cash
Nov-3-2025,YOU BOUGHT,ISRG,0.546,542.76,-296.35,"+164,122.13",--,--,2_DC Rollover IRA *4915,Nov-4-2025,Cash
Nov-3-2025,YOU SOLD,DUK,-258,122.50,"31,605.00","+164,418.48",--,--,2_DC Rollover IRA *4915,Nov-4-2025,Cash
Nov-3-2025,YOU BOUGHT,AMZN,467,256.91,"-119,976.97","+132,813.48",--,--,2_DC Rollover IRA *4915,Nov-4-2025,Cash
Nov-3-2025,YOU BOUGHT,AMZN,0.09,256.91,-23.12,"+252,790.45",--,--,2_DC Rollover IRA *4915,Nov-4-2025,Cash
Oct-31-2025,REINVESTMENT REINVEST @ $1.000,FDRXX,762.27,1.00,-762.27,"+252,813.57",--,--,2_DC Rollover IRA *4915,--,Cash
Oct-31-2025,DIVIDEND RECEIVED,FDRXX,--,--,762.27,"+252,813.57",--,--,2_DC Rollover IRA *4915,--,Cash
Oct-31-2025,YOU SOLD,SNOW,-50,266.37,"13,318.50","+252,051.30",--,--,2_DC Rollover IRA *4915,Nov-3-2025,Cash
Oct-31-2025,YOU BOUGHT,AMD,150,258.75,"-38,813.25","+238,732.80",--,--,2_DC Rollover IRA *4915,Nov-3-2025,Cash
Oct-31-2025,YOU BOUGHT,AMD,71,258.78,"-18,373.38","+277,546.05",--,--,2_DC Rollover IRA *4915,Nov-3-2025,Cash
Oct-31-2025,YOU BOUGHT,AMD,29,258.79,"-7,504.91","+295,919.43",--,--,2_DC Rollover IRA *4915,Nov-3-2025,Cash
Oct-30-2025,YOU SOLD,GH,-0.01,90.91,0.91,"+303,424.34",--,--,2_DC Rollover IRA *4915,Oct-31-2025,Cash
