"Activity 
2_DC Rollover IRA *4915 
as of 02/03/2026 at 03:25:53 PM"

Date,Description,Symbol,Quantity,Price,Amount,Cash Balance,Commission,Fees,Account,Settlement Date,Type
Jan-8-2026,YOU SOLD,NVDA,-90,185.50,"16,695.00","+241,986.20",--,--,2_DC Rollover IRA *4915,Jan-9-2026,Margin
Jan-8-2026,YOU SOLD,LLY,-35,"1,070.77","37,476.95","+225,291.20",--,--,2_DC Rollover IRA *4915,Jan-9-2026,Margin
Jan-8-2026,YOU SOLD,HWM,-20,209.00,"4,180.00","+187,814.25",--,--,2_DC Rollover IRA *4915,Jan-9-2026,Margin
Jan-8-2026,YOU SOLD,HWM,-130,208.96,"27,164.80","+183,634.25",--,--,2_DC Rollover IRA *4915,Jan-9-2026,Margin
Jan-8-2026,YOU BOUGHT,BTSG,520,39.70,"-20,646.08","+156,469.45",--,--,2_DC Rollover IRA *4915,Jan-9-2026,Margin
Jan-8-2026,YOU BOUGHT,BTSG,80,39.71,"-3,176.80","+177,115.53",--,--,2_DC Rollover IRA *4915,Jan-9-2026,Margin
Jan-8-2026,YOU SOLD,BTSG,-72,38.91,"2,801.52","+180,292.33",--,--,2_DC Rollover IRA *4915,Jan-9-2026,Margin
Jan-8-2026,YOU SOLD,BTSG,-209,38.90,"8,130.10","+177,490.81",--,--,2_DC Rollover IRA *4915,Jan-9-2026,Margin
Jan-8-2026,YOU SOLD,BTSG,-353,38.88,"13,724.64","+169,360.71",--,--,2_DC Rollover IRA *4915,Jan-9-2026,Margin
Jan-8-2026,YOU BOUGHT,BIDU,400,143.68,"-57,472.16","+155,636.07",--,--,2_DC Rollover IRA *4915,Jan-9-2026,Margin
Jan-8-2026,YOU SOLD,AEIS,-150,215.17,"32,275.50","+213,108.23",--,--,2_DC Rollover IRA *4915,Jan-9-2026,Margin
Jan-8-2026,YOU SOLD,ANF,-100,126.10,"12,610.00","+180,832.73",--,--,2_DC Rollover IRA *4915,Jan-9-2026,Margin
Jan-7-2026,YOU SOLD,RKLB,-100,83.59,"8,359.00","+168,222.73",--,--,2_DC Rollover IRA *4915,Jan-8-2026,Margin
Jan-7-2026,YOU SOLD,RDDT,-50,258.93,"12,946.50","+159,863.73",--,--,2_DC Rollover IRA *4915,Jan-8-2026,Margin
Jan-7-2026,YOU SOLD,MU,-30,337.56,"10,126.77","+146,917.23",--,--,2_DC Rollover IRA *4915,Jan-8-2026,Margin
Jan-7-2026,YOU SOLD,AEIS,-150,222.74,"33,411.00","+136,790.46",--,--,2_DC Rollover IRA *4915,Jan-8-2026,Margin
Jan-6-2026,YOU SOLD,TIGR,-900,10.34,"9,306.00","+103,379.46",--,--,2_DC Rollover IRA *4915,Jan-7-2026,Margin
Jan-6-2026,YOU SOLD,TIGR,"-2,100",10.33,"21,693.00","+94,073.46",--,--,2_DC Rollover IRA *4915,Jan-7-2026,Margin
Jan-6-2026,YOU SOLD 26006JFL76,RKLB,-100,85.58,"8,558.01","+72,380.46",--,--,2_DC Rollover IRA *4915,Jan-7-2026,Margin
Jan-6-2026,YOU BOUGHT,LLY,35,"1,065.56","-37,294.55","+63,822.45",--,--,2_DC Rollover IRA *4915,Jan-7-2026,Margin
Jan-6-2026,YOU SOLD,ATI,-200,117.61,"23,521.84","+101,117.00",--,--,2_DC Rollover IRA *4915,Jan-7-2026,Margin
Jan-5-2026,YOU BOUGHT,TIGR,"1,000",10.80,"-10,804.00","+77,595.16",--,--,2_DC Rollover IRA *4915,Jan-6-2026,Margin
Jan-5-2026,YOU SOLD,ULTA,-10,633.48,"6,334.80","+88,399.16",--,--,2_DC Rollover IRA *4915,Jan-6-2026,Margin
Jan-5-2026,YOU BOUGHT,RKLB,400,74.19,"-29,676.00","+82,064.36",--,--,2_DC Rollover IRA *4915,Jan-6-2026,Margin
Jan-5-2026,YOU BOUGHT,RDDT,50,246.15,"-12,307.50","+111,740.36",--,--,2_DC Rollover IRA *4915,Jan-6-2026,Margin
Jan-5-2026,YOU SOLD,NVDA,-110,186.28,"20,490.80","+124,047.86",--,--,2_DC Rollover IRA *4915,Jan-6-2026,Margin
Jan-5-2026,YOU BOUGHT,MU,100,318.07,"-31,806.85","+103,557.06",--,--,2_DC Rollover IRA *4915,Jan-6-2026,Margin
Jan-5-2026,YOU BOUGHT,HWM,150,212.84,"-31,926.00","+135,363.91",--,--,2_DC Rollover IRA *4915,Jan-6-2026,Margin
Jan-5-2026,YOU BOUGHT,BTSG,400,38.81,"-15,524.00","+167,289.91",--,--,2_DC Rollover IRA *4915,Jan-6-2026,Margin
Jan-5-2026,YOU BOUGHT,BTSG,100,38.81,"-3,881.00","+182,813.91",--,--,2_DC Rollover IRA *4915,Jan-6-2026,Margin
Jan-5-2026,YOU BOUGHT,AEIS,83,227.45,"-18,878.35","+186,694.91",--,--,2_DC Rollover IRA *4915,Jan-6-2026,Margin
Jan-5-2026,YOU BOUGHT,AEIS,67,226.61,"-15,182.87","+205,573.26",--,--,2_DC Rollover IRA *4915,Jan-6-2026,Margin
Jan-5-2026,YOU BOUGHT,ANF,140,126.22,"-17,670.80","+220,756.13",--,--,2_DC Rollover IRA *4915,Jan-6-2026,Margin
Jan-5-2026,YOU BOUGHT,ANF,10,126.17,"-1,261.69","+238,426.93",--,--,2_DC Rollover IRA *4915,Jan-6-2026,Margin
Jan-5-2026,YOU SOLD 26005JI21M,ANF,-150,124.32,"18,648.41","+239,688.62",--,--,2_DC Rollover IRA *4915,Jan-6-2026,Margin
Jan-5-2026,YOU BOUGHT,FTI,750,48.27,"-36,202.50","+221,040.21",--,--,2_DC Rollover IRA *4915,Jan-6-2026,Margin
Jan-2-2026,YOU BOUGHT,ULTA,50,612.95,"-30,647.45","+257,242.71",--,--,2_DC Rollover IRA *4915,Jan-5-2026,Margin
Jan-2-2026,YOU SOLD,ULTA,-25,616.58,"15,414.38","+287,890.16",--,--,2_DC Rollover IRA *4915,Jan-5-2026,Margin
Jan-2-2026,YOU SOLD 26002JB856,RDDT,-50,239.20,"11,960.20","+272,475.78",--,--,2_DC Rollover IRA *4915,Jan-5-2026,Margin
Jan-2-2026,YOU BOUGHT,MSFT,60,476.65,"-28,599.15","+260,515.58",--,--,2_DC Rollover IRA *4915,Jan-5-2026,Margin
Jan-2-2026,YOU SOLD,MSFT,-60,470.88,"28,252.80","+289,114.73",--,--,2_DC Rollover IRA *4915,Jan-5-2026,Margin
Jan-2-2026,YOU BOUGHT,AVGO,100,356.80,"-35,679.84","+260,861.93",--,--,2_DC Rollover IRA *4915,Jan-5-2026,Margin
Jan-2-2026,YOU SOLD,AVGO,-50,345.75,"17,287.50","+296,541.77",--,--,2_DC Rollover IRA *4915,Jan-5-2026,Margin
Jan-2-2026,YOU SOLD,AVGO,-50,352.01,"17,600.50","+279,254.27",--,--,2_DC Rollover IRA *4915,Jan-5-2026,Margin
Jan-2-2026,YOU SOLD,APP,-20,641.30,"12,826.10","+261,653.77",--,--,2_DC Rollover IRA *4915,Jan-5-2026,Margin
Jan-2-2026,YOU BOUGHT,GOOGL,200,316.24,"-63,248.40","+248,827.67",--,--,2_DC Rollover IRA *4915,Jan-5-2026,Margin
Jan-2-2026,YOU BOUGHT,GOOGL,50,320.24,"-16,012.08","+312,076.07",--,--,2_DC Rollover IRA *4915,Jan-5-2026,Margin
Jan-2-2026,YOU SOLD,GOOGL,-0.058,314.20,18.22,"+328,088.15",--,--,2_DC Rollover IRA *4915,Jan-5-2026,Margin
Jan-2-2026,YOU SOLD,GOOGL,-1,314.20,314.20,"+328,069.93",--,--,2_DC Rollover IRA *4915,Jan-5-2026,Margin
Jan-2-2026,YOU SOLD,GOOGL,-147,314.20,"46,187.39","+327,755.73",--,--,2_DC Rollover IRA *4915,Jan-5-2026,Margin
Jan-2-2026,YOU SOLD,GOOGL,-200,313.66,"62,732.00","+281,568.34",--,--,2_DC Rollover IRA *4915,Jan-5-2026,Margin
Jan-2-2026,YOU BOUGHT,ATI,200,117.67,"-23,535.00","+218,836.34",--,--,2_DC Rollover IRA *4915,Jan-5-2026,Margin
Jan-2-2026,YOU BOUGHT,AEIS,150,222.23,"-33,334.17","+242,371.34",--,--,2_DC Rollover IRA *4915,Jan-5-2026,Margin
,Totals,,,,"  -71,281.51",,  --,  --,,,

Disclosure
"The data and information in this spreadsheet is provided to you solely for your use and is not for distribution. 
The spreadsheet is provided for informational purposes only, and is not intended to provide advice, nor should it be construed as an offer to sell, a solicitation of an offer to buy or a recommendation for any security 
or digital asset by Fidelity or any third party. Data and information shown is based on information known to Fidelity as of the date it was exported and is subject to change. 
It should not be used in place of your account statements or trade confirmations and is not intended for tax reporting purposes. 
For more information on the data included in this spreadsheet, including any limitations thereof, go to Fidelity.com.
 
Brokerage services are provided by Fidelity Brokerage Services LLC (FBS), 900 Salem Street, Smithfield, RI 02917. Custody and other services provided by National Financial Services LLC (NFS). 
Both are Fidelity Investment companies and members SIPC, NYSE. Neither FBS nor NFS offer crypto as a direct investment nor provide trading or custody services for such assets."
